Credit_Number,Car_Owner,Propert_Owner,Annual_income,EDUCATION,label
5008827,1,1,180000.0,1,1
5009744,1,0,315000.0,1,1
5009746,1,0,315000.0,1,1
5009752,1,0,315000.0,1,1
5009754,1,0,315000.0,1,1
5009894,0,0,180000.0,4,1
5010864,1,1,450000.0,4,1
5010868,1,1,450000.0,4,1
5010869,1,1,450000.0,4,1
5018498,1,1,90000.0,4,1
5018503,1,1,90000.0,4,1
5021303,0,0,472500.0,1,1
5021310,0,1,270000.0,4,1
5021314,0,1,270000.0,4,1
5021430,0,1,126000.0,1,1
5021431,0,1,126000.0,1,1
5021998,0,1,90000.0,4,1
5022053,0,0,202500.0,1,1
5022617,1,1,202500.0,4,1
5023781,0,1,157500.0,1,1
5023831,0,1,112500.0,4,1
5024071,0,1,180000.0,1,1
5024213,1,1,540000.0,1,1
5024916,0,1,112500.0,4,1
5028580,0,0,540000.0,1,1
5029028,0,1,90000.0,3,1
5029311,0,1,112500.0,4,1
5033453,0,0,135000.0,1,1
5033514,1,0,135000.0,4,1
5033916,0,1,180000.0,4,1
5036469,1,0,112500.0,4,1
5036590,1,1,292500.0,1,1
5036660,1,1,76500.0,4,1
5036795,1,1,215100.0,4,1
5041522,1,1,450000.0,1,1
5042064,1,0,270000.0,1,1
5045888,0,1,225000.0,4,1
5045894,0,1,225000.0,4,1
5045895,0,1,225000.0,4,1
5046324,0,1,157500.0,4,1
5046328,0,1,157500.0,4,1
5047662,0,1,67500.0,4,1
5048300,1,0,180000.0,4,1
5048301,1,0,180000.0,4,1
5050603,0,0,157500.0,4,1
5050606,0,0,157500.0,4,1
5050671,0,0,171000.0,2,1
5051160,1,0,135000.0,4,1
5051161,1,0,135000.0,4,1
5052659,0,1,103500.0,4,1
5052661,0,1,103500.0,4,1
5052877,1,1,225000.0,4,1
5052879,1,1,225000.0,4,1
5052882,1,1,225000.0,4,1
5053254,1,1,180000.0,4,1
5054063,0,0,157500.0,4,1
5054068,0,0,157500.0,4,1
5054524,0,0,180000.0,4,1
5054525,0,0,180000.0,4,1
5058345,0,1,99000.0,1,1
5058350,0,1,99000.0,1,1
5058352,0,1,99000.0,1,1
5058530,0,0,391500.0,4,1
5058531,0,0,391500.0,4,1
5058532,0,0,391500.0,4,1
5061360,0,1,65250.0,1,1
5061396,0,1,72900.0,3,1
5061636,0,1,225000.0,4,1
5061691,0,1,67500.0,1,1
5062136,0,0,180000.0,4,1
5065348,1,1,202500.0,1,1
5065462,0,0,157500.0,4,1
5065518,1,0,202500.0,1,1
5068389,1,1,270000.0,1,1
5068456,1,0,135000.0,4,1
5069216,1,1,256500.0,1,1
5069218,1,1,256500.0,1,1
5069307,0,1,157500.0,4,1
5078820,0,0,225000.0,4,1
5078945,0,1,180000.0,2,1
5078946,0,1,180000.0,2,1
5079166,1,0,202500.0,4,1
5079167,1,0,202500.0,4,1
5079168,1,0,202500.0,4,1
5085886,1,1,315000.0,1,1
5089162,1,0,225000.0,1,1
5089959,0,1,126000.0,4,1
5090166,0,1,675000.0,4,1
5090214,1,1,135000.0,4,1
5090216,1,1,135000.0,4,1
5092087,1,1,247500.0,4,1
5092245,0,0,103500.0,4,1
5092479,0,0,85500.0,4,1
5096527,0,0,135000.0,4,1
5096528,0,0,135000.0,4,1
5096743,0,1,180000.0,3,1
5097065,0,1,121500.0,4,1
5100430,1,0,180000.0,4,1
5105045,0,1,225000.0,4,1
5106077,0,1,135000.0,4,1
5113621,0,0,225000.0,4,1
5113933,0,0,67500.0,4,1
5113944,1,0,135000.0,4,1
5114249,0,0,130500.0,2,1
5114253,0,0,130500.0,2,1
5115604,0,1,202500.0,4,1
5115606,0,1,202500.0,4,1
5115608,0,1,202500.0,4,1
5115610,0,1,202500.0,4,1
5115611,0,1,202500.0,4,1
5116035,1,1,126000.0,1,1
5116036,1,1,126000.0,1,1
5116258,0,1,180000.0,4,1
5116301,0,1,180000.0,4,1
5116302,0,1,180000.0,4,1
5116304,0,1,180000.0,4,1
5116906,1,1,211500.0,4,1
5117313,0,1,157500.0,4,1
5117413,0,0,81000.0,4,1
5118046,0,0,81000.0,4,1
5118275,0,0,112500.0,4,1
5118278,0,0,112500.0,4,1
5118279,0,0,112500.0,4,1
5118280,0,0,112500.0,4,1
5118283,0,0,112500.0,4,1
5118541,0,1,72000.0,4,1
5125289,0,0,202500.0,4,1
5125299,0,1,148500.0,4,1
5125708,1,1,135000.0,3,1
5125716,1,1,135000.0,3,1
5125761,0,1,270000.0,4,1
5125763,1,0,135000.0,4,1
5125934,0,1,135000.0,3,1
5135344,0,1,112500.0,1,1
5135345,0,1,112500.0,1,1
5135346,0,1,112500.0,1,1
5135485,0,1,135000.0,1,1
5135487,0,1,135000.0,1,1
5135636,1,1,195750.0,4,1
5135990,0,1,585000.0,1,1
5135991,0,1,585000.0,1,1
5142184,1,1,450000.0,1,1
5142185,1,1,450000.0,1,1
5142361,1,1,112500.0,4,1
5142362,1,1,112500.0,4,1
5142456,0,0,67500.0,1,1
5142458,0,1,67500.0,1,1
5142459,0,1,67500.0,1,1
5143342,0,0,216000.0,4,1
5145690,0,1,306000.0,1,1
5145817,0,1,90000.0,4,1
5146005,1,1,225000.0,4,1
5146079,0,1,108000.0,4,1
5146167,0,1,135000.0,4,1
5146444,0,1,135000.0,4,1
5148932,1,0,108000.0,4,1
5148934,1,0,108000.0,4,1
5149188,1,0,450000.0,1,1
5149190,1,0,450000.0,1,1
5149828,1,1,315000.0,4,1
5149834,0,1,157500.0,1,1
5149838,0,1,157500.0,1,1
5118538,0,1,81000.0,4,0
5069057,1,0,225000.0,4,0
5066689,0,1,180000.0,1,0
5086062,0,1,135000.0,4,0
5113717,0,0,135000.0,4,0
5066765,0,1,63000.0,4,0
5105227,0,1,135000.0,4,0
5054648,0,1,112500.0,4,0
5067187,0,1,112500.0,1,0
5105818,0,1,45000.0,4,0
5125478,0,1,202500.0,4,0
5046340,0,1,180000.0,3,0
5022326,1,1,256500.0,1,0
5065764,0,1,90000.0,4,0
5067849,0,1,180000.0,4,0
5097169,0,0,90000.0,4,0
5048583,0,1,135000.0,4,0
5115566,0,1,126000.0,4,0
5052722,0,0,126000.0,4,0
5067723,0,1,337500.0,0,0
5056077,1,1,90000.0,4,0
5022275,1,1,131400.0,4,0
5143016,0,0,180000.0,4,0
5066709,0,1,247500.0,4,0
5021445,0,1,121500.0,4,0
5053592,0,1,117000.0,3,0
5116163,0,1,90000.0,4,0
5041273,0,1,445500.0,1,0
5066627,1,1,157500.0,4,0
5125399,1,0,112500.0,4,0
5067345,1,0,180000.0,4,0
5053711,1,0,157500.0,2,0
5096234,0,0,117000.0,4,0
5125158,0,1,234000.0,4,0
5143231,1,1,1575000.0,1,0
5062688,1,1,247500.0,4,0
5105685,0,1,144000.0,4,0
5115984,1,1,180000.0,1,0
5065363,0,1,216000.0,1,0
5140074,0,1,90000.0,4,0
5067643,0,1,171000.0,1,0
5091963,1,0,180000.0,4,0
5053637,0,0,225000.0,1,0
5067149,0,0,225000.0,2,0
5096424,1,0,270000.0,1,0
5046283,0,1,67050.0,1,0
5029348,1,1,270000.0,1,0
5096061,0,0,73350.0,4,0
5028917,1,1,112500.0,4,0
5117778,1,0,144000.0,4,0
5095310,1,1,225000.0,1,0
5050655,0,0,112500.0,4,0
5033817,1,0,292500.0,1,0
5052963,1,1,135000.0,4,0
5113159,1,1,157500.0,4,0
5143235,1,1,1575000.0,1,0
5132800,0,1,157500.0,4,0
5090549,0,1,157500.0,4,0
5054522,1,1,135000.0,1,0
5051061,0,0,112500.0,4,0
5010707,1,0,202500.0,4,0
5028984,0,1,193500.0,4,0
5126034,1,1,108000.0,4,0
5090470,0,1,900000.0,4,0
5021775,0,1,292500.0,1,0
5046415,1,1,270000.0,1,0
5065606,1,0,270000.0,1,0
5117314,0,1,292500.0,4,0
5009195,0,0,292500.0,4,0
5139548,1,1,157500.0,1,0
5096416,0,0,76500.0,4,0
5042286,0,1,157500.0,4,0
5050729,1,0,180000.0,4,0
5038897,0,1,135000.0,4,0
5050973,0,0,112500.0,4,0
5044935,0,1,360000.0,1,0
5113539,0,1,157500.0,4,0
5085990,1,1,225000.0,4,0
5033452,0,0,112500.0,4,0
5051240,1,0,121500.0,4,0
5065335,0,1,202500.0,3,0
5145978,1,0,112500.0,4,0
5105614,1,1,135000.0,1,0
5038845,0,1,103500.0,4,0
5105556,0,1,157500.0,4,0
5028383,1,0,337500.0,4,0
5009980,1,1,180000.0,4,0
5062075,0,1,112500.0,4,0
5009706,0,0,157500.0,1,0
5146463,1,0,360000.0,1,0
5112662,0,0,135000.0,4,0
5096796,1,1,337500.0,1,0
5066843,0,1,135000.0,4,0
5066597,0,0,360000.0,1,0
5009074,1,1,450000.0,1,0
5090954,0,0,270000.0,4,0
5143019,0,0,270000.0,4,0
5118617,0,0,270000.0,1,0
5116018,1,1,450000.0,1,0
5139662,0,1,157500.0,3,0
5042232,0,1,112500.0,4,0
5125317,1,0,292500.0,4,0
5068038,0,0,112500.0,4,0
5038814,0,1,247500.0,4,0
5095356,0,0,157500.0,4,0
5037266,1,0,225000.0,4,0
5052865,0,1,94500.0,2,0
5096211,0,0,81000.0,4,0
5023280,1,1,180000.0,4,0
5132340,0,1,198000.0,2,0
5136012,0,0,180000.0,1,0
5045917,1,1,315000.0,4,0
5041073,0,1,67500.0,4,0
5149660,0,1,180000.0,4,0
5022756,0,0,202500.0,4,0
5036562,0,0,112500.0,4,0
5117754,1,0,306000.0,4,0
5125281,0,1,90000.0,4,0
5149039,0,1,270000.0,1,0
5021267,1,1,270000.0,4,0
5125166,0,1,234000.0,4,0
5125524,0,0,171000.0,4,0
5010089,0,0,225000.0,4,0
5126457,0,0,94500.0,1,0
5142763,0,0,117000.0,4,0
5023261,1,1,180000.0,4,0
5090861,1,1,202500.0,4,0
5146123,0,0,54000.0,4,0
5023410,0,1,112500.0,4,0
5010032,1,1,85500.0,4,0
5118397,0,0,135000.0,4,0
5033628,0,1,166500.0,1,0
5069399,0,1,157500.0,4,0
5008889,0,1,247500.0,1,0
5022041,0,1,180000.0,4,0
5126124,1,0,72000.0,4,0
5023563,0,1,202500.0,4,0
5050853,0,0,180000.0,1,0
5024412,1,0,270000.0,1,0
5090612,1,0,202500.0,1,0
5028274,1,0,360000.0,2,0
5028996,1,1,270000.0,1,0
5126322,0,0,270000.0,4,0
5053610,0,1,112500.0,4,0
5137401,0,0,157500.0,1,0
5142812,1,0,202500.0,4,0
5053114,0,1,99000.0,4,0
5149027,0,1,162000.0,4,0
5145869,0,1,225000.0,4,0
5053354,1,0,225000.0,4,0
5087944,0,1,72000.0,4,0
5035688,1,1,135000.0,4,0
5068491,0,0,315000.0,1,0
5044860,0,1,167400.0,4,0
5117047,0,1,180000.0,4,0
5022676,0,1,135000.0,4,0
5009739,1,0,99000.0,4,0
5096991,0,1,225000.0,1,0
5067982,1,1,153000.0,1,0
5135982,0,1,423000.0,4,0
5046362,0,1,90000.0,4,0
5066817,1,0,360000.0,1,0
5143519,0,1,247500.0,4,0
5068888,0,1,225000.0,4,0
5150412,0,1,67500.0,4,0
5067924,0,1,112500.0,4,0
5056149,1,0,157500.0,4,0
5022308,0,1,90000.0,4,0
5068465,0,1,90000.0,4,0
5036881,1,1,225000.0,4,0
5137033,1,0,112500.0,4,0
5148812,0,1,112500.0,4,0
5100220,1,1,315000.0,4,0
5078842,1,1,135000.0,4,0
5010526,1,1,450000.0,1,0
5105150,0,1,90000.0,1,0
5045253,0,1,270000.0,4,0
5100000,0,0,180000.0,4,0
5029725,0,1,135000.0,1,0
5090925,0,1,243000.0,4,0
5115947,1,1,225000.0,4,0
5028572,0,1,112500.0,1,0
5022373,0,1,234000.0,4,0
5149040,0,1,180000.0,4,0
5113291,1,1,121500.0,2,0
5139951,1,1,121500.0,4,0
5028697,1,0,270000.0,1,0
5148527,0,1,180000.0,4,0
5009443,0,0,90000.0,4,0
5096621,0,0,135000.0,4,0
5149150,1,1,247500.0,4,0
5118448,0,0,76500.0,4,0
5116818,0,1,85500.0,4,0
5022833,1,1,202500.0,4,0
5086006,0,1,157500.0,4,0
5010397,1,1,225000.0,1,0
5047789,1,1,225000.0,1,0
5105657,1,1,540000.0,1,0
5150047,0,1,283500.0,4,0
5035791,1,1,90000.0,4,0
5088699,1,1,252000.0,4,0
5115797,0,1,135000.0,4,0
5023460,1,1,315000.0,4,0
5096466,1,0,450000.0,1,0
5146472,1,1,180000.0,1,0
5024527,0,1,270000.0,4,0
5095193,1,1,495000.0,4,0
5068156,1,1,180000.0,4,0
5117756,1,0,306000.0,4,0
5066507,0,1,157500.0,4,0
5143164,0,0,180000.0,4,0
5088834,0,1,612000.0,4,0
5135841,0,1,36000.0,4,0
5023059,1,1,112500.0,4,0
5125325,1,0,292500.0,4,0
5135574,1,1,180000.0,4,0
5009053,0,1,202500.0,1,0
5028292,0,1,292500.0,1,0
5029108,1,0,315000.0,4,0
5091400,0,0,135000.0,4,0
5050768,0,0,337500.0,4,0
5113420,0,0,157500.0,4,0
5113132,1,1,360000.0,4,0
5062670,1,1,135000.0,1,0
5029352,1,1,270000.0,1,0
5105067,0,1,157500.0,2,0
5143573,1,0,157500.0,2,0
5045203,1,1,139500.0,4,0
5065673,0,0,135000.0,4,0
5029544,1,1,133650.0,4,0
5045800,1,1,427500.0,4,0
5111159,1,1,81000.0,1,0
5099957,1,1,225000.0,1,0
5143360,0,1,126000.0,4,0
5091753,1,0,135000.0,1,0
5117403,0,0,94500.0,4,0
5149319,1,1,180000.0,1,0
5137542,0,0,157500.0,4,0
5095170,1,1,252000.0,1,0
5090780,0,0,202500.0,4,0
5092242,0,0,117000.0,4,0
5068671,0,1,247500.0,2,0
5143427,0,1,180000.0,4,0
5087994,1,1,180000.0,2,0
5052739,0,1,180000.0,4,0
5068747,0,0,157500.0,1,0
5025029,0,0,135000.0,4,0
5022571,1,1,202500.0,1,0
5024578,0,0,90000.0,4,0
5058405,1,1,247500.0,1,0
5041869,1,0,99000.0,4,0
5115894,1,0,247500.0,4,0
5062749,1,0,202500.0,1,0
5045611,0,1,90000.0,4,0
5113288,1,1,121500.0,2,0
5053003,1,1,157500.0,2,0
5118038,0,0,121500.0,1,0
5091405,0,1,135000.0,4,0
5137022,0,0,180000.0,4,0
5117594,0,0,144000.0,4,0
5085704,1,1,126000.0,4,0
5137292,1,0,225000.0,4,0
5038751,1,1,157500.0,1,0
5099900,1,1,157500.0,4,0
5116676,1,1,270000.0,4,0
5061321,1,1,261000.0,1,0
5139410,1,1,135000.0,4,0
5048486,1,1,202500.0,4,0
5139658,0,1,157500.0,3,0
5091280,0,1,103500.0,4,0
5023186,1,1,135000.0,4,0
5054307,0,0,135000.0,4,0
5116879,0,0,112500.0,1,0
5050453,0,1,231750.0,4,0
5022804,1,1,202500.0,1,0
5091374,1,1,247500.0,4,0
5135484,0,1,135000.0,1,0
5054188,0,0,135000.0,4,0
5054626,0,1,112500.0,4,0
5068548,1,1,117000.0,4,0
5053472,0,1,112500.0,4,0
5105395,0,1,135000.0,2,0
5029554,0,1,103500.0,4,0
5089722,0,0,315000.0,4,0
5066562,0,0,180000.0,2,0
5062547,0,1,247500.0,2,0
5010203,1,1,135000.0,3,0
5024665,0,1,157500.0,4,0
5089626,0,0,315000.0,1,0
5021373,0,1,247500.0,1,0
5054699,1,1,157500.0,1,0
5143515,0,1,247500.0,4,0
5018461,0,1,166500.0,4,0
5096300,0,0,112500.0,4,0
5148897,0,1,90900.0,4,0
5025047,1,0,112500.0,4,0
5092164,1,1,45900.0,4,0
5053143,0,1,126000.0,4,0
5038510,0,1,103500.0,2,0
5023482,0,1,119250.0,4,0
5054099,1,0,202500.0,1,0
5062713,0,1,157500.0,4,0
5088851,1,1,112500.0,1,0
5111117,0,1,315000.0,1,0
5118115,0,0,270000.0,4,0
5024258,0,1,162000.0,4,0
5113976,1,0,270000.0,2,0
5099907,0,1,112500.0,2,0
5092332,0,1,58500.0,4,0
5038932,0,1,94500.0,1,0
5078924,0,1,270000.0,4,0
5068390,1,1,270000.0,1,0
5046036,1,1,99000.0,4,0
5033788,0,1,315000.0,1,0
5010781,1,1,157500.0,1,0
5022761,0,1,180000.0,4,0
5041980,0,0,211500.0,1,0
5113854,0,0,202500.0,4,0
5126612,1,0,180000.0,4,0
5132264,0,0,144000.0,4,0
5142136,0,0,144000.0,4,0
5088163,0,1,270000.0,4,0
5146086,0,0,148500.0,4,0
5139553,1,1,157500.0,1,0
5041474,0,1,90000.0,1,0
5025020,0,1,148500.0,4,0
5118270,0,0,99000.0,4,0
5095324,0,1,315000.0,4,0
5142290,0,1,162000.0,1,0
5148792,0,1,202500.0,4,0
5062031,1,1,225000.0,1,0
5088836,0,1,612000.0,4,0
5035418,0,1,292500.0,1,0
5089896,0,1,67500.0,1,0
5137407,0,0,157500.0,1,0
5086060,0,1,135000.0,4,0
5095117,0,1,67500.0,1,0
5067419,0,1,144000.0,4,0
5041307,1,1,90000.0,4,0
5146401,0,1,112500.0,4,0
5105137,0,1,112500.0,4,0
5053388,0,1,135000.0,4,0
5146467,1,0,360000.0,1,0
5113082,0,1,112500.0,1,0
5052755,0,1,225000.0,4,0
5092436,1,1,112500.0,4,0
5022243,0,1,202500.0,4,0
5113020,1,1,202500.0,4,0
5058267,0,0,225000.0,4,0
5037247,1,1,112500.0,4,0
5100461,1,1,202500.0,4,0
5096753,1,0,328500.0,1,0
5091778,0,1,112500.0,4,0
5038569,1,1,202500.0,4,0
5069169,1,1,135000.0,4,0
5065820,1,1,157500.0,4,0
5091048,0,1,270000.0,1,0
5097134,1,1,157500.0,4,0
5097106,0,1,193500.0,4,0
5099877,1,1,103500.0,4,0
5033884,1,1,90000.0,4,0
5097024,1,0,198000.0,1,0
5010412,0,1,202500.0,4,0
5091144,1,0,225000.0,4,0
5088503,1,1,72000.0,1,0
5126142,1,0,202500.0,4,0
5067020,1,1,247500.0,4,0
5061076,1,0,157500.0,4,0
5126527,0,0,225000.0,4,0
5078931,0,0,112500.0,4,0
5125471,1,1,450000.0,1,0
5025207,1,1,180000.0,4,0
5042097,0,0,108000.0,4,0
5067653,0,1,787500.0,1,0
5089137,1,0,202500.0,4,0
5065601,0,1,157500.0,4,0
5112833,0,1,90000.0,4,0
5050549,0,0,225000.0,1,0
5065763,0,1,90000.0,4,0
5089269,0,0,72000.0,4,0
5061207,1,1,225000.0,4,0
5028684,0,1,157500.0,4,0
5028737,0,1,360000.0,4,0
5113406,1,1,450000.0,1,0
5025741,1,0,216000.0,1,0
5045992,0,1,157500.0,4,0
5054453,1,1,315000.0,1,0
5024586,1,1,315000.0,4,0
5090701,0,0,594000.0,1,0
5091929,1,0,135000.0,4,0
5149034,0,1,180000.0,1,0
5114114,1,0,157500.0,4,0
5142579,1,1,234000.0,4,0
5046035,1,1,99000.0,4,0
5050756,1,0,225000.0,4,0
5047853,1,1,292500.0,1,0
5009790,0,0,198000.0,4,0
5135819,0,1,90000.0,4,0
5092287,0,1,247500.0,1,0
5105743,1,0,112500.0,1,0
